,astronaut_id,selection_id,year_of_selection
637,310,NASA- 14,1990
638,311,TsPK-8,1987
639,311,TsPK-8,1987
640,311,TsPK-8,1987
641,311,TsPK-8,1987
642,311,TsPK-8,1987
643,312,MGA/Kazakhstan,1990
644,312,MGA/Kazakhstan,1990
645,313,NASA Astronaut Group 13,1990
646,313,NASA Astronaut Group 14,1990
647,313,NASA Astronaut Group 16,1990
648,313,NASA Astronaut Group 17,1990
649,314,NASA- 13,1990
650,314,NASA- 13,1990
651,314,NASA- 13,1990
652,314,NASA- 13,1990
653,315,1990 NASA group,1990
654,315,1990 NASA group,1990
655,316,NASDA-1,1985
656,316,NASDA-1,1985
657,317,NASA- 14,1992
658,318,1990 NASA group,1990
659,318,1990 NASA group,1990
660,319,1992 NASA group,1992
661,319,1993 NASA group,1992
662,319,1994 NASA group,1992
663,319,1995 NASA group,1992
664,320,NPOE-9,1989
665,320,NPOE-9,1989
666,321,1992 NASA group,1992
667,321,1992 NASA group,1992
668,321,1992 NASA group,1992
669,322,CNES-2/ESA-2/EAC,1985
670,322,CNES-2/ESA-2/EAC,1985
671,322,CNES-2/ESA-2/EAC,1985
672,323,NASA-14,1992
673,323,NASA-14,1992
674,323,NASA-14,1992
675,323,NASA-14,1992
676,323,NASA-14,1992
677,324,NASA- 13,1990
678,324,NASA- 13,1990
679,324,NASA- 13,1990
680,324,NASA- 13,1990
681,325,NASA Astronaut Group 13,1990
682,326,NASA Astronaut Group 14,1992
683,326,NASA Astronaut Group 15,1992
684,326,NASA Astronaut Group 16,1992
685,326,NASA Astronaut Group 17,1992
686,326,NASA Astronaut Group 18,1992
687,327,NASA- 14,1992
688,327,NASA- 14,1992
689,327,NASA- 14,1992
690,327,NASA- 14,1992
691,328,TsPK-8,1987
692,328,TsPK-8,1987
693,331,1992 NASA group,1992
694,332,TsPK-8,1987
695,332,TsPK-8,1987
696,333,ESA-2/EAC,1992
697,334,NASA Astronaut Group 14,1992
698,334,NASA Astronaut Group 16,1992
699,334,NASA Astronaut Group 17,1992
700,335,NASA-14,1992
701,335,NASA-14,1992
702,335,NASA-14,1992
703,336,NASA- 14,1992
704,337,NASA- 15,1992
705,337,NASA- 16,1992
706,337,NASA- 17,1992
707,340,1992 CSA Group,1992
708,340,1992 CSA Group,1992
709,340,1992 CSA Group,1992
710,341,NASA- 14,1992
711,341,NASA- 15,1992
